,Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,long,lat
188,Maryborough Sunday Tourist Market,Carisbrook Trotting Complex,Carisbrook,3464.0,VIC,Market,Central Goldfields,Loddon-Mallee,143.841414,-37.019811
189,Marysville Community Market,Visitor Information Centre car park,Marysville,3779.0,VIC,Market,,,145.784751,-37.539266999999995
190,Melbourne Markets,"Box 1, 542 Footscray Road",West Melbourne,3003.0,VIC,Market,Melbourne,North and West Metropolitan Region,144.949592,-37.810871
191,Melbourne University Student Union Market,"North Court, off Tin Alley",Melbourne,3000.0,VIC,Market,Melbourne,North and West Metropolitan Region,144.956776,-37.817403000000006
192,Melton Sunday Market,Secondary College,Melton,3337.0,VIC,Market,Wyndham (C); Melton (S),North and West Metropolitan Region,144.5462424,-37.65724033
193,Mentone Sunday Market,Florence St car park,Mentone,3194.0,VIC,Market,,,145.06735600000002,-37.985059
194,Mildura City Heart Market,Langtree Mall,Mildura,3502.0,VIC,Market,Mildura Rural,Loddon-Mallee,145.25835,-37.972887
195,Milleara Shopping Centre Craft Market,Milleara Shopping Centre,Keilor East,3033.0,VIC,Market,Moonee Valley,North and West Metropolitan Region,144.85763799999998,-37.74107
196,Moe Craft Market,Gippsland Heritage Park,Moe,3825.0,VIC,Market,"La Trobe , Baw Baw",Gippsland,146.34293200000002,-37.978862
197,Montrose Craft Market,Town Centre,Montrose,3765.0,VIC,Market,Yarra Ranges,Eastern Metro,145.346621,-37.814771
198,Moonambel Market,Moonambel Reserve,Moonambel,3478.0,VIC,Market,,,143.230699,-36.688551000000004
199,Moonee Ponds Craft Market,Celebrity Room,Moonee Ponds,3039.0,VIC,Market,Moonee Valley,North and West Metropolitan Region,144.922995,-37.766184
200,Mornington Racecourse Market,Mornington Racecourse,Mornington,3931.0,VIC,Market,Mornington Peninsula (S),Southern Metropolitan Region,145.04950300000002,-38.230038
201,Mornington Village Shopping Centre Indoor Market,Mornington Village Shopping Centre,Mornington,3931.0,VIC,Market,Mornington Peninsula,Southern Metro,145.04950300000002,-38.230038
202,Mornington Wednesday Market,Main Street,Mornington,3931.0,VIC,Market,Mornington Peninsula,Southern Metro,145.04950300000002,-38.230038
203,Mount Beauty Community Market,Next to Community Centre,Mount Beauty,3699.0,VIC,Market,Alpine (S),Hume Region,147.299257,-36.844307
204,Mount Street Art & Craft Market,Mount Street Neighbourhood House,Glen Waverley,3150.0,VIC,Market,Monash,Eastern Metro,145.168834,-37.914383
205,Mount Waverley Rotary Club Village Market,Mt Waverley Village Shopping Centre,Mount Waverley,3149.0,VIC,Market,Monash,Eastern Metro,145.128118,-37.880748
206,Myrtleford Bush Market,St Paul's Anglican Church grounds,Myrtleford,3737.0,VIC,Market,,,146.82759,-36.554037
207,Nagambie Lakes Community Market,High Street,Nagambie,3608.0,VIC,Market,Strathbogie,Hume,145.095753,-36.740713
208,New Quay Market,New Quay,Docklands,3008.0,VIC,Market,,,144.948039,-37.814719000000004
209,Newstead Market,Rotunda Park,Newstead,3462.0,VIC,Market,Mount Alexander,Loddon-Mallee,144.05361100000002,-37.083560999999996
210,Numurkah Lions Broken Creek Market,South side of Broken Creek,Numurkah,3636.0,VIC,Market,Moira,Hume,145.479471,-36.093878000000004
211,Nunawading Art & Craft Market,In front of Whitehorse Civic Centre,Nunawading,3131.0,VIC,Market,Whitehorse,Eastern Metro,145.174489,-37.817797999999996
212,Nyah Lions Market,Nyah Trotting Complex,Nyah,3594.0,VIC,Market,,,143.346028,-35.138155
213,Oakleigh Rotary Market,Hanover Street Carpark,Oakleigh,3166.0,VIC,Market,Monash,Eastern Metro,145.089719,-37.902805
214,Ocean Grove Craft Market,Kingston Park,Ocean Grove,3226.0,VIC,Market,Greater Geelong (C),Barwon South Western Region,144.523761,-38.263811
215,Oxley Bush Market,Oxley Shire Hall,Oxley,3678.0,VIC,Market,,,146.482439,-36.68892
216,Pall Mall Art & Craft Market,Pall Mall,Bendigo,3550.0,VIC,Market,Greater Bendigo,Loddon-Mallee,144.285267,-36.764269
217,Patterson Lakes Christmas Craft Market,Patterson Lakes Community Centre,Patterson Lakes,3197.0,VIC,Market,Kingston,Southern Metro,145.13411100000002,-38.072748
218,Paynesville Market,Gilsenan Reserve,Paynesville,3880.0,VIC,Market,East Gippsland,Gippsland,147.727389,-37.914728000000004
219,Pentridge Piazza Market,Pentridge Piazza,Coburg,3058.0,VIC,Market,Moreland,North and West Metropolitan Region,144.964524,-37.739901
220,Pipeworks Market,400 Mahoneys Road,Campbellfield,3061.0,VIC,Market,Hume,North and West Metropolitan Region,144.956763,-37.666265
221,Pleasant Street Craft Market,Pleasant Street Primary School,Ballarat,3350.0,VIC,Market,Ballarat,Grampians,143.864505,-37.571940999999995
222,Point Cook Community Market,Jamieson Way Community Centre,Point Cook,3030.0,VIC,Market,,,144.64209,-37.91624
223,Point Lonsdale Primary School Market,Point Lonsdale Primary School,Point Lonsdale,3225.0,VIC,Market,Queenscliffe (b),Barwon S/W,144.614191,-38.271074
224,Pomonal Village Market,Ararat-Halls Gap Road,Pomonal,3381.0,VIC,Market,Ararat Rural,Grampians,142.7154,-36.988914
225,Port Albert Market,Mechanics Hall,Port Albert,3971.0,VIC,Market,,,146.815723,-38.631941999999995
226,Port Campbell Summer Market,Across the road from beach (next to the tennis courts),Port Campbell,3269.0,VIC,Market,"Colac-otway , Corangamite",Barwon S/W,143.17711599999998,-38.660637
227,Port Fairy Craft Market,Village Green,Port Fairy,3284.0,VIC,Market,Moyne,Barwon S/W,142.11926599999998,-38.270398
228,Portarlington Sunday Market,Parks Hall,Portarlington,3223.0,VIC,Market,Greater Geelong,Barwon S/W,144.6217267,-38.13622989
229,Portland Angling Club Sunday Market,Foreshore,Portland,3305.0,VIC,Market,Glenelg,Barwon S/W,141.437227,-38.235475
230,Portland Wischmans Market,Gorae Road,Gorae,3305.0,VIC,Market,,,141.437227,-38.235475
231,Preston Market,The Centreway,Preston,3072.0,VIC,Market,Darebin,North and West Metropolitan Region,145.005702,-37.742470000000004
232,Queens Gardens Craft and Produce Market,Queens Gardens,Shepparton,3630.0,VIC,Market,Greater Shepparton,Hume,145.403176,-36.380853
233,Queenscliff Community Market,Lower Princess Park,Queenscliff,3225.0,VIC,Market,Queenscliffe (b),Barwon S/W,144.614191,-38.271074
234,Rokeby Community Market,Rokeby Hall & Reserve,Rokeby,3821.0,VIC,Market,,,145.945214,-37.919937
235,Rose Street Artists' Market,60 Rose St,Fitzroy,3065.0,VIC,Market,,,144.977795,-37.802608
236,Rosebud Community Market,Rosebud Primary School,Rosebud,3939.0,VIC,Market,Mornington Peninsula,Southern Metro,144.900413,-38.42776
237,Rosedale Monthly Market,Prince Street Reserve,Rosedale,3847.0,VIC,Market,Wellington,Gippsland,146.772991,-38.166213
238,Rural Christmas Market,Information Victoria Bookshop,Melbourne,3000.0,VIC,Market,Melbourne,North and West Metropolitan Region,144.956776,-37.817403000000006
239,Rushworth Market,High Street,Rushworth,3612.0,VIC,Market,"Greater Shepparton , Campaspe","Loddon-Mallee, Hume",145.019312,-36.575936
240,Rye Foreshore Market,Rye Foreshore,Rye,3941.0,VIC,Market,Mornington Peninsula,Southern Metro,144.827203,-38.396077000000005
241,Sale Sunday Charity Variety Market,Thompson River Canal Reserve,Sale,3850.0,VIC,Market,Wellington,Gippsland,147.106181,-38.224191
242,Sandringham Village Craft Market,Masonic Hall,Sandringham,3191.0,VIC,Market,Bayside,Southern Metro,145.013472,-37.956585
243,Shepparton Bush Market,Maude Street Mall,Shepparton,3632.0,VIC,Market,Greater Shepparton,Hume,145.603242,-36.544462
244,Shepparton Craft and Produce Market,Queens Gardens,Shepparton,3630.0,VIC,Market,,,145.403176,-36.380853
245,Shepparton Treasure Market,Twilight Drive-in,Shepparton,3632.0,VIC,Market,Greater Shepparton,Hume,145.603242,-36.544462
246,Somerville Market,St Andrews Anglican Church,Somerville,3912.0,VIC,Market,"Mornington Peninsula , Frankston , Casey",Southern Metro,145.227373,-38.217991
247,Sophia Mundi Community School Market,School Grounds,Abbotsford,3067.0,VIC,Market,Yarra,North and West Metropolitan Region,144.998203,-37.803515000000004
248,St Andrews Market,Main Road (opposite hotel),St Andrews,3761.0,VIC,Market,,,145.292381,-37.585625
249,St Anne's Winery Craft Market,St Anne's Winery,Myrniong,3341.0,VIC,Market,,,144.308232,-37.573710999999996
250,St Kilda Esplanade Market,Upper Esplanade,St Kilda,3182.0,VIC,Market,Port Phillip,Southern Metro,144.979478,-37.865322
251,St Kilda Night Market,O'Donnell Gardens,St Kilda,3182.0,VIC,Market,Port Phillip,Southern Metro,144.979478,-37.865322
252,St Leonards Market,Foreshore,St Leonards,3223.0,VIC,Market,Greater Geelong,Barwon S/W,144.6217267,-38.13622989
253,Stawell S.E.S. Market,Drill Hall,Stawell,3380.0,VIC,Market,Northern Grampians,Grampians,142.771159,-37.0666
254,Steampacket Gardens Art & Craft Market,Steampacket Gardens,Geelong,3220.0,VIC,Market,Greater Geelong,Barwon S/W,144.34652,-38.157038
255,Sunbury Craft Market,Leisure Centre,Sunbury,3429.0,VIC,Market,Melton ; Hume,North and West Metropolitan Region,144.728973,-37.56762
256,Surrey Hills Neighbourhood Centre Market,Neighbourhood Centre,Surrey Hills,3127.0,VIC,Market,"Whitehorse , Boroondara",Eastern Metro,145.097236,-37.825173
257,Swan Hill Rotary Club Country Market,Railway Station Carpark,Swan Hill,3585.0,VIC,Market,Swan Hill Rural,Loddon-Mallee,143.336906,-35.348388
258,Tarwin Lower Market,Mechanics Institute Hall,Tarwin Lower,3956.0,VIC,Market,South Gippsland,Gippsland,145.955341,-38.597018
259,The Campus Monash University Market,Between Campus Centre & Engineering Lawns,Clayton,3168.0,VIC,Market,Monash,Eastern Metro,145.12665,-37.91342
260,The Gardens Market,"Observatory Gate, Royal Botanic Gardens",South Yarra,3141.0,VIC,Market,,,144.991264,-37.840678999999994
261,The Makers Bazaar,Abbotsford Convent,Abbotsford,3067.0,VIC,Market,,,144.998203,-37.803515000000004
262,The Market at Yarrawood,1275 Melba Hwy,Yarra Glen,3775.0,VIC,Market,,,145.365993,-37.642852000000005
263,The Sunday Market,Victorian Arts Centre lawn & Concert Hall,Soutbank,3006.0,VIC,Market,,,144.9520744,-37.82528675
264,Thomastown Market,Wood Street,Thomastown,3074.0,VIC,Market,Whittlesea,North and West Metropolitan Region,145.006644,-37.684684000000004
265,Tongala Market by the Murals,Tongala Shire Lawns,Tongala,3621.0,VIC,Market,Campaspe,Loddon-Mallee,144.961183,-36.206055
266,Toora Market,Former Bonlac Store,Toora,3962.0,VIC,Market,,,146.359804,-38.60357
267,Tooradin Sunday Market,The Island,Tooradin,3980.0,VIC,Market,,,145.35693700000002,-38.204448
268,Tootgarook Community Market,Tootgarook Primary School,Tootgarook,3941.0,VIC,Market,Mornington Peninsula,Southern Metro,144.827203,-38.396077000000005
269,Torquay Primary School Market,Torquay Primary School,Torquay,3228.0,VIC,Market,Surf Coast,Barwon S/W,144.299978,-38.307545000000005
270,Tunstall Square Rotary Market,Tunstall Square,Doncaster East,3109.0,VIC,Market,Manningham,Eastern Metro,145.161649,-37.784786
271,Uncle Bob's Country Market,Rear of town hall,St Arnaud,3478.0,VIC,Market,Northern Grampians,Grampians,143.230699,-36.688551000000004
272,Undercover Weekly Market,Koroit Street,Warrnambool,3280.0,VIC,Market,Warrnambool,Barwon S/W,142.482889,-38.378840000000004
273,Upper Yarra Community Market,Yarra Junction Football Oval carpark,Yarra Junction,3797.0,VIC,Market,,,145.786343,-37.867809
274,Venus Bay Twilight Markets,Community Centre,Venus Bay,3956.0,VIC,Market,South Gippsland,Gippsland,145.955341,-38.597018
275,Victorian Arts Centre Market,St Kilda Road and Southgate,Southbank,3006.0,VIC,Market,"Port Phillip,Melbourne","North and West Metropolitan Region,Southern Metro",144.9520744,-37.82528675
276,Violet Town Honeysuckle Community Market,Tulip Street (Melway ref. 610 T2),Violet Town,3669.0,VIC,Market,Strathbogie,Hume,145.708668,-36.625333000000005
277,Wallan Old Time Market,Hadfield Park,Wallan,3756.0,VIC,Market,Whittlesea (C); Macedon Ranges (S); Mitchell (S),North and West Metropolitan Region; Loddon-Mallee; Hume,144.956641,-37.41233
278,Wangaratta Trash and Treasure Market,Wareena Park (Melway ref. 622 C7),Wangaratta,3677.0,VIC,Market,Wangaratta Rural,Hume,146.33056399999998,-36.358017
279,Wantirna Trash & Treasure Market,Cnr Boronia Road & Mountain Highway,Wantirna,3152.0,VIC,Market,Knox,Eastern Metro,145.22169499999998,-37.864951
280,Warburton River Market,Thomas Avenue (at rear of shops),Warburton,3799.0,VIC,Market,Yarra Ranges,Eastern Metro,145.818512,-37.727565999999996
281,Warrandyte Community Market,Stiggants Reserve,Warrandyte,3113.0,VIC,Market,"Nillumbik , Manningham",Eastern Metro,145.204689,-37.752123
282,Warrnambool Hillside Market,Flagstaff Hill,Warrnambool,3280.0,VIC,Market,Warrnambool (C),Barwon South Western Region,142.482889,-38.378840000000004
283,Warrnambool Undercover Market,"Cattle Pavilion, Showgrounds Reserve",Warrnambool,3280.0,VIC,Market,Warrnambool,Barwon S/W,142.482889,-38.378840000000004
284,Wartook Market,"Picnic Area, Wartook Pottery",Wartook,3401.0,VIC,Market,,,141.940832,-36.881534
285,Waterfront City Market,Waterfront City Plaza,Docklands,3008.0,VIC,Market,,,144.948039,-37.814719000000004
286,Wedderburn Market,Old Market Square,Wedderburn,3518.0,VIC,Market,Loddon (S),Loddon-Mallee Region,143.58621499999998,-36.474937
287,Werribee Racecourse Market,Werribee Racecourse,Werribee,3030.0,VIC,Market,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region,144.64209,-37.91624
288,Whittlesea Market,Whittlesea Showgrounds,Whittlesea,3757.0,VIC,Market,Whittlesea ; Nillumbik,North and West Metropolitan Region,145.182221,-37.469784000000004
289,Williamstown Craft Market,Commonwealth Reserve,Williamstown,3016.0,VIC,Market,Hobsons Bay,North and West Metropolitan Region,144.888461,-37.863743
290,Windmill Gardens Craft Market,"Windmill Gardens, Cnr Leakes Road & Keilor Melton Highway",Rockbank,3335.0,VIC,Market,Melton,North and West Metropolitan Region,144.6698898,-37.69608887
291,Wodonga Market,Woodland Grove (near the water tower),Wodonga,3690.0,VIC,Market,,,146.864361,-36.135717
292,Wonthaggi Rotary Market,Apex Park,Wonthaggi,3995.0,VIC,Market,Bass Coast,Gippsland,145.630713,-38.578071
293,Woodend Village Market,High Street,Woodend,3442.0,VIC,Market,Macedon Ranges,Loddon-Mallee,144.548846,-37.330661
294,Woori Yallock Primary School Market,Woori Yallock Primary School,Woori Yallock,3139.0,VIC,Market,Yarra Ranges,Eastern Metro,145.53266599999998,-37.814506
295,Yarra Glen Market,Healesville Racecourse,Healesville,3777.0,VIC,Market,Yarra Ranges (S),Eastern Metropolitan Region,145.513804,-37.606088
296,Yarra Junction Football Club Market,Main Road carpark,Yarra Junction,3797.0,VIC,Market,,,145.786343,-37.867809
297,Yarram Market,Guide and Scout Hall,Yarram,3971.0,VIC,Market,,,146.815723,-38.631941999999995
298,Yarrawonga Rotary Market,Yarrawonga Showgrounds,Yarrawonga,3730.0,VIC,Market,,,145.97475500000002,-36.051782
299,Yea Community Craft Market,Plantation on High Street,Yea,3717.0,VIC,Market,,,145.435776,-37.286611
